Name,Summary,Inputs,Outputs,Variability_Type,Adv,Disadv,Solves
Surrogate_Modelling,Mathematical approximation model of full parent model useful when it is expensive to simulate the parent model ,Training_Points,Mathematical_approximations_of_parent_model,Parameter typically,Significantly reduce simulation time of compelx models,Needs and training not robust to discontinuities,Simulation_Time
Combinatorial_optimisation,Discrete type of optimisation find an optimum set from a finite set of objects e.g. travelling sales man problem,Finite_Set_of_Element_Variants,Optimum_set_of_system_element_types,All with discretisation,Relatively simple to implement,Can be NP complete long simulation time,Selection_of_designs
Constrained_Combinatorial_optimisation,"Discrete type of optimisation find an optimum set from a finite set of objects e.g. travelling sales man problem, with constraints",Finite_Set_of_Element_Variants;Design_Constraints,Optimum_set_of_system_element_types,All with discretisation,Relatively simple to implement,Can be NP complete long simulation time,Selection_of_designs;Application_of_constraints_on_feasible_designs
Agentbased_otpimsiation_,Optimisation scheme using multiple agents that follow their own optimisation method to find an optimal point,Executable_System_Model;Objectives;Parameter_Variability,Globally_Optimal_Design_Parameters,Parameter typically,Increase chances of finding global optimum not just a local one,Computationally expensive,Selection_of_designs
Constrained_Agentbased_otpimsiation_,"Optimisation scheme using multiple agents that follow their own optimisation method to find an optimal point, with constraints",Executable_System_Model;Objectives;Design_Constraints;Parameter_Variability,Globally_Optimal_Design_Parameters,Parameter typically,Increase chances of finding global optimum not just a local one,Computationally expensive,Selection_of_designs;Application_of_constraints_on_feasible_designs
Gradient_based_optimisation,can be type of agent optimisation follows direction of steepest descent to find minimum,Executable_System_Model;Objectives;Parameter_Variability,Local_Minimum,Parameter typically,Faster convergence on minima,If not agent based can get trapped in local minimum,Selection_of_designs
Constrained_Gradient_based_optimisation,"can be type of agent optimisation follows direction of steepest descent to find minimum, with constraints",Executable_System_Model;Objectives;Design_Constraints;Parameter_Variability,Local_Minimum,Parameter typically,Faster convergence on minima,If not agent based can get trapped in local minimum,Selection_of_designs;Application_of_constraints_on_feasible_designs
Genetic_Optimisation,type of agent optimisation uses repeated cross over and mutation between a population of individual solutions to find minimum,Executable_System_Model;Objectives;Parameter_Variability,Globally_Optimal_Design_Parameters,Parameter typically,Tuneable mutation and crossover,Computationally expensive,Selection_of_designs
Constrained_Genetic_Optimisation,"type of agent optimisation uses repeated cross over and mutation between a population of individual solutions to find minimum, with constraints",Executable_System_Model;Objectives;Design_Constraints;Parameter_Variability,Globally_Optimal_Design_Parameters,Parameter typically,Tuneable mutation and crossover,Computationally expensive,Selection_of_designs;Application_of_constraints_on_feasible_designs
Particle_swarm_optimisation,type of agent optimisation,Executable_System_Model;Objectives;Parameter_Variability,Globally_Optimal_Design_Parameters,Parameter typically,IDK,,Selection_of_designs
Constrained_Particle_swarm_optimisation,"type of agent optimisation, with constraints",Executable_System_Model;Objectives;Design_Constraints;Parameter_Variability,Globally_Optimal_Design_Parameters,Parameter typically,IDK,,Selection_of_designs;Application_of_constraints_on_feasible_designs
Simulated_annealing_optimisation,type of agent optimisation,Executable_System_Model;Objectives;Parameter_Variability,Globally_Optimal_Design_Parameters,Parameter typically,IDK,,Selection_of_designs
Constrained_Simulated_annealing_optimisation,"type of agent optimisation, with constraints",Executable_System_Model;Objectives;Design_Constraints;Parameter_Variability,Globally_Optimal_Design_Parameters,Parameter typically,IDK,,Selection_of_designs;Application_of_constraints_on_feasible_designs
Interactive_Optimisation_,A human expert is able to make inputs to the optimisation process either by changing search directions or parameters etc,Executable_System_Model;Objectives;Expert_Intuition;Parameter_Variability,Globally_Optimal_Design_Parameters;Selection_of_unmeasured_aspects,Various,Can better be fused with Expert_Intuition,Requires manual input,Selection_of_designs
Constrained_Interactive_Optimisation_,"A human expert is able to make inputs to the optimisation process either by changing search directions or parameters etc, with constraints",Executable_System_Model;Objectives;Expert_Intuition;Design_Constraints,Globally_Optimal_Design_Parameters;Selection_of_unmeasured_aspects,Various,Can better be fused with Expert_Intuition,Requires manual input,Selection_of_designs;Application_of_constraints_on_feasible_designs
OSMoSE_Ontology,Ontology describing space systems could be used to help generate system architectures consistent with industry,Organisational_Info;Requirements,System_architecture,All,Generates industrially consistent system model,Limited to scope of OSMoSE,
Rule_based_design_generation,Discrete rules for if such and such as aspect of the organisation or requirements are present then include such and such an element in the design,Organisational_Info;Requirements,System_architecture,All,Rapidly arrive at solution,Limited to rule domain,Synthesis_of_new_alternatives
Design_of_experiments,Statistical process for identifying configuration of tests with the aim of identifying what key factors influence outputs  what setting should they be in acceptable outputs main interactions in the process how to minimise variation in the outputs,Executable_System_Model;Objectives;Simulation_Results,Training_Points,Parameter,Maximise usefulness of trainingsample points,Need to run more simulations to identify sensitivities,Design_Space_Coverage;Identification_of_what_aspects_to_vary_and_at_what_level
Evolutionary_generative_design,IDK,IDK,IDK,All,IDK,IDK,Synthesis_of_new_alternatives;Synthesis_of_NOVEL_alternatives
Constrained_Evolutionary_generative_design,"IDK, with constraints",IDK;Design_Constraints,IDK,All,IDK,IDK,Synthesis_of_new_alternatives;Synthesis_of_NOVEL_alternatives;Application_of_constraints_on_feasible_designs
Procedural_generative_design_rule_based,IDK,IDK,IDK,All,IDK,Limited to rule domain,Synthesis_of_new_alternatives
Machine_Learning,IDK,IDK,IDK,IDK,IDK,Must train NN model first,Synthesis_of_new_alternatives
Deep_Reinforcement_learning_for_design_concept_generation_assistant,Machine learning Selected a component selection from a database action then evaluate this e.g. by using a parametric model. Calculate a reword for this then use this to learn on a neural network the actionreward mapping,Parametric_System_Model;Database_of_Components,Product_breakdown_component_list,All,Identify optimum component selection generally faster than combinatorial approaches,Must first train Neural net to learn rewardaction mapping limited to component database scope,Synthesis_of_new_alternatives
Parametric_Variability_SysML_Stereotypes,New SysML stereotypes for describing the parameter level variation of design variables,Logical_Architecture;Functional_Architecture;Physical_Architecture,Parameter_Variability,Parameter Variability,Enables parameter level varaibility description in SysML models,limited to parameter level,Parameter_variation_language
Objective_SysML_Stereotypes,New SysML stereotypes for describing the objectives related to the model,Logical_Architecture;Functional_Architecture;Physical_Architecture,Objectives,Parameter Variability,Enables a simple selection method of designs - better value of objectives the better the design,Can become ambiguous with many confolicting objectives,Description_of_a_good_design
Design_constraint_and_dependant_variable_SysML_Stereotypes,New SysML stereotypes for describing dependant variables and constraints related to them to identify compliant/feasible and infeasible/noncompliant designs,Logical_Architecture;Functional_Architecture;Physical_Architecture;Requirements,Design_Constraints,Parameter Variability,Enables description of where the feasible desing region is,difficult to describe more complex constriants than a parameter being within a certain range,Description_of_constraints_on_feasible_designs
Swarm_intelligence_and_multi-agent_societies,"Commonly used to model social or collective behaviours, they are capable of autonomous action using their individual priorities. Essentially a set of unsophisticated individuals interact local with their environment and cause a system or global level functional pattern - emergent behaviour",Requirements;Parametric_System_Model;,System_architecture,All,Regular design evaluation and improvement Multiple solutions Optimisation Disruptive innovation from 45,"heavy computation requirement, Progress slows down after achieving near optima solutions from 45",Synthesis_of_new_alternatives;Synthesis_of_NOVEL_alternatives
