Name,Summary,Inputs,Optional_Inputs,Outputs,Variability_Type,Adv,Disadv,Solves
Surrogate Modelling,Mathematical approximation model of full parent model useful when it is expensive to simulate the parent model ,Training Points;Executable System Model,,Mathematical approximations of parent model,Parameter typically,Significantly reduce simulation time of compelx models,Needs and training not robust to discontinuities,Simulation Time
Combinatorial optimisation,Discrete type of optimisation find an optimum set from a finite set of objects e.g. travelling sales man problem,Finite Set of Element Variants,,Optimum set of system element types,All with discretisation,Relatively simple to implement,Can be NP complete long simulation time,Selection of designs
Constrained Combinatorial optimisation,"Discrete type of optimisation find an optimum set from a finite set of objects e.g. travelling sales man problem, with constraints",Finite Set of Element Variants;Design Constraints,,Optimum set of system element types,All with discretisation,Relatively simple to implement,Can be NP complete long simulation time,Selection of designs;Application of constraints on feasible designs
Agentbased otpimsiation,Optimisation scheme using multiple agents that follow their own optimisation method to find an optimal point,Executable System Model;Objectives;Parameter Variability,,Globally Optimal Design Parameters,Parameter typically,Increase chances of finding global optimum not just a local one,Computationally expensive,Selection of designs
Constrained Agentbased otpimsiation ,"Optimisation scheme using multiple agents that follow their own optimisation method to find an optimal point, with constraints",Executable System Model;Objectives;Design Constraints;Parameter Variability,,Globally Optimal Design Parameters,Parameter typically,Increase chances of finding global optimum not just a local one,Computationally expensive,Selection of designs;Application of constraints on feasible designs
Gradient based optimisation,can be type of agent optimisation follows direction of steepest descent to find minimum,Executable System Model;Objectives;Parameter Variability,,Local Minimum,Parameter typically,Faster convergence on minima,If not agent based can get trapped in local minimum,Selection of designs
Constrained Gradient based optimisation,"can be type of agent optimisation follows direction of steepest descent to find minimum, with constraints",Executable System Model;Objectives;Design Constraints;Parameter Variability,,Local Minimum,Parameter typically,Faster convergence on minima,If not agent based can get trapped in local minimum,Selection of designs;Application of constraints on feasible designs
Genetic Optimisation,type of agent optimisation uses repeated cross over and mutation between a population of individual solutions to find minimum,Executable System Model;Objectives;Parameter Variability,,Globally Optimal Design Parameters,Parameter typically,Tuneable mutation and crossover,Computationally expensive,Selection of designs
Constrained Genetic Optimisation,"type of agent optimisation uses repeated cross over and mutation between a population of individual solutions to find minimum, with constraints",Executable System Model;Objectives;Design Constraints;Parameter Variability,,Globally Optimal Design Parameters,Parameter typically,Tuneable mutation and crossover,Computationally expensive,Selection of designs;Application of constraints on feasible designs
Particle swarm optimisation,type of agent optimisation,Executable System Model;Objectives;Parameter Variability,,Globally Optimal Design Parameters,Parameter typically,IDK,,Selection of designs
Constrained Particle swarm optimisation,"type of agent optimisation, with constraints",Executable System Model;Objectives;Design Constraints;Parameter Variability,,Globally Optimal Design Parameters,Parameter typically,IDK,,Selection of designs;Application of constraints on feasible designs
Simulated annealing optimisation,type of agent optimisation,Executable System Model;Objectives;Parameter Variability,,Globally Optimal Design Parameters,Parameter typically,IDK,,Selection of designs
Constrained Simulated annealing optimisation,"type of agent optimisation, with constraints",Executable System Model;Objectives;Design Constraints;Parameter Variability,,Globally Optimal Design Parameters,Parameter typically,IDK,,Selection of designs;Application of constraints on feasible designs
Interactive Optimisation ,A human expert is able to make inputs to the optimisation process either by changing search directions or parameters etc,Executable System Model;Objectives;Expert Intuition;Parameter Variability,,Globally Optimal Design Parameters;Selection of unmeasured aspects,Various,Can better be fused with expert intuition,Requires manual input,Selection of designs
Constrained Interactive Optimisation ,"A human expert is able to make inputs to the optimisation process either by changing search directions or parameters etc, with constraints",Executable System Model;Objectives;Expert Intuition;Design Constraints,,Globally Optimal Design Parameters;Selection of unmeasured aspects,Various,Can better be fused with expert intuition,Requires manual input,Selection of designs;Application of constraints on feasible designs
OSMoSE Ontology,Ontology describing space systems could be used to help generate system architectures consistent with industry,Organisational Info;Requirements,,System architecture,All,Generates industrially consistent system model,Limited to scope of OSMoSE,
Rule based design generation,Discrete rules for if such and such as aspect of the organisation or requirements are present then include such and such an element in the design,Organisational Info;Requirements,,System architecture,All,Rapidly arrive at solution,Limited to rule domain,Synthesis of new alternatives
Design of experiments,Statistical process for identifying configuration of tests with the aim of identifying what key factors influence outputs  what setting should they be in acceptable outputs main interactions in the process how to minimise variation in the outputs,Executable System Model;Objectives;Simulation Results,,Training Points,Parameter,Maximise usefulness of trainingsample points,Need to run more simulations to identify sensitivities,Design Space Coverage;Identification of what aspects to vary and at what level
Evolutionary generative design,IDK,IDK,,IDK,All,IDK,IDK,Synthesis of new alternatives;Synthesis of NOVEL alternatives
Constrained Evolutionary generative design,"IDK, with constraints",IDK;Design Constraints,,IDK,All,IDK,IDK,Synthesis of new alternatives;Synthesis of NOVEL alternatives;Application of constraints on feasible designs
Procedural generative design rule based,IDK,IDK,,IDK,All,IDK,Limited to rule domain,Synthesis of new alternatives
Machine Learning,IDK,IDK,,IDK,IDK,IDK,Must train NN model first,Synthesis of new alternatives
Deep Reinforcement learning for design concept generation assistant,Machine learning Selected a component selection from a database action then evaluate this e.g. by using a parametric model. Calculate a reword for this then use this to learn on a neural network the actionreward mapping,Parametric System Model;Database of Components,,Product breakdown component list,All,Identify optimum component selection generally faster than combinatorial approaches,Must first train Neural net to learn rewardaction mapping limited to component database scope,Synthesis of new alternatives
Parametric Variability SysML Stereotypes,New SysML stereotypes for describing the parameter level variation of design variables,Logical Architecture;Functional Architecture;Physical Architecture,,Parameter Variability,Parameter Variability,Enables parameter level varaibility description in SysML models,limited to parameter level,Parameter variation language
Objective SysML Stereotypes,New SysML stereotypes for describing the objectives related to the model,Logical Architecture;Functional Architecture;Physical Architecture,,Objectives,Parameter Variability,Enables a simple selection method of designs - better value of objectives the better the design,Can become ambiguous with many confolicting objectives,Description of a good design
Design constraint and dependant variable SysML Stereotypes,New SysML stereotypes for describing dependant variables and constraints related to them to identify compliant/feasible and infeasible/noncompliant designs,Logical Architecture;Functional Architecture;Physical Architecture;Requirements,,Design Constraints,Parameter Variability,Enables description of where the feasible desing region is,difficult to describe more complex constriants than a parameter being within a certain range,Description of constraints on feasible designs
Swarm intelligence and multi-agent societies,"Commonly used to model social or collective behaviours, they are capable of autonomous action using their individual priorities. Essentially a set of unsophisticated individuals interact local with their environment and cause a system or global level functional pattern - emergent behaviour",Requirements;Parametric System Model;,,System architecture,All,Regular design evaluation and improvement Multiple solutions Optimisation Disruptive innovation from 45,"heavy computation requirement, Progress slows down after achieving near optima solutions from 45",Synthesis of new alternatives;Synthesis of NOVEL alternatives
